ADR;1028052;27/05/2024;002403
ITM;163;1;;11
ITM;168;0.254;;11
ITM;698;0.328;;11
ITM;205;0.466;;11
ITM;505;0.378;;11
ITM;502;0.678;;11
ITM;371;2;;11
ITM;125;0.978;;11
ITM;128;0.492;;11
ITM;135;0.884;;11
ITM;624;0.59;;11
ITM;148;0.392;;11
ITM;162;0.51;;11
ITM;128;1.004;;11
ITM;301;0.21;;11
ITM;700;0.094;;11
ITM;334;0.034;;11
ITM;303;0.078;;11
ITM;302;0.046;;11
ITM;402;0.152;;11
ITM;407;0.076;;11
ITM;360;0.106;;11
ITM;311;0.05;;11
ITM;329;0.114;;11
ITM;310;0.036;;11
ITM;308;0.104;;11
ITM;306;0.248;;11
