ADR;1029052;19/07/2024;003068
ITM;129;1.312;;11
ITM;135;0.988;;11
ITM;127;0.846;;11
ITM;128;0.632;;11
ITM;148;0.838;;11
ITM;205;0.266;;11
ITM;624;1.314;;11
ITM;616;0.658;;11
ITM;609;1.71;;11
ITM;206;0.706;;11
ITM;213;4;;11
ITM;209;4;;11
ITM;621;0.732;;11
ITM;409;0.552;;11
ITM;207;0.25;;11
ITM;263;0.152;;11
ITM;420;0.566;;11
ITM;168;0.22;;11
ITM;250;0.498;;11
ITM;613;0.354;;11
ITM;509;0.278;;11
ITM;506;1.188;;11
ITM;131;2.19;;11
ITM;503;0.784;;11
ITM;501;1.724;;11
ITM;641;1;;11
ITM;642;1;;11
ITM;346;1.678;;11
ITM;613;0.71;;11
ITM;508;1.154;;11
ITM;623;0.51;;11
