ADR;1029111;16/05/2024;002279
ITM;508;1.122;;11
ITM;698;1.216;;11
ITM;207;1.456;;11
ITM;501;4.552;;11
ITM;604;3.374;;11
ITM;604;3.334;;11
ITM;604;3.096;;11
ITM;604;3.27;;11
ITM;623;2.218;;11
ITM;168;1.734;;11
ITM;624;2.078;;11
ITM;205;2.004;;11
ITM;621;2.154;;11
ITM;216;3.762;;11
ITM;204;2.114;;11
ITM;202;3.896;;11
ITM;409;1.85;;11
ITM;250;2.398;;11
ITM;616;3.572;;11
ITM;609;4.222;;11
ITM;502;4.482;;11
ITM;502;4.528;;11
ITM;502;4.424;;11
ITM;613;4.89;;11
ITM;505;8.135;;11
ITM;505;7.33;;11
ITM;505;8.07;;11
ITM;501;8.92;;11
ITM;501;8.39;;11
ITM;501;9.48;;11
ITM;506;8.02;;11
ITM;506;7.83;;11
ITM;506;7.275;;11
ITM;506;8.64;;11
ITM;506;7.25;;11
ITM;204;7.925;;11
ITM;506;7.85;;11
ITM;502;9.335;;11
ITM;502;8.21;;11
ITM;502;9.505;;11
ITM;502;9.165;;11
ITM;502;9.24;;11
ITM;616;4.004;;11
ITM;209;12;;11
ITM;263;3.484;;11
ITM;263;3.494;;11
ITM;698;2.848;;11
ITM;168;3.32;;11
ITM;414;8.025;;11
ITM;604;6.25;;11
ITM;611;5.476;;11
ITM;611;4.91;;11
ITM;611;2.598;;11
ITM;632;4.692;;11
ITM;623;4.5;;11
ITM;509;7.465;;11
ITM;509;8.575;;11
ITM;509;7.93;;11
ITM;509;8.295;;11
ITM;508;7.54;;11
ITM;509;8.545;;11
ITM;509;8.225;;11
ITM;409;7.41;;11
ITM;503;11.195;;11
ITM;604;2.258;;11
ITM;214;1.968;;11
ITM;602;1.516;;11
ITM;109;4.09;;11
ITM;150;6.16;;11
ITM;149;2.062;;11
ITM;420;1.436;;11
ITM;163;3;;11
ITM;127;11.11;;11
ITM;127;6.065;;11
ITM;138;7.765;;11
ITM;135;13.05;;11
ITM;128;2.942;;11
ITM;125;8.565;;11
ITM;125;6.695;;11
ITM;125;12.93;;11
ITM;121;5.158;;11
ITM;110;2.286;;11
ITM;121;6.165;;11
ITM;121;5.138;;11
ITM;131;8.805;;11
ITM;131;9.775;;11
ITM;109;12.955;;11
ITM;109;14.76;;11
ITM;503;5.262;;11
ITM;601;5.372;;11
ITM;420;0.88;;11
ITM;213;5;;11
ITM;214;1.564;;11
ITM;206;1.17;;11
ITM;206;1.362;;11
ITM;207;1.466;;11
ITM;250;3.758;;11
ITM;610;4.236;;11
ITM;624;2.078;;11
ITM;622;1.482;;11
ITM;698;1.278;;11
ITM;205;6.305;;11
ITM;610;3.624;;11
ITM;610;3.376;;11
ITM;610;3.792;;11
ITM;610;3.65;;11
ITM;506;4.106;;11
ITM;631;2.228;;11
ITM;621;2.014;;11
ITM;505;3.722;;11
ITM;613;2.216;;11
ITM;613;2.26;;11
ITM;613;2.594;;11
ITM;613;2.294;;11
ITM;502;4.28;;11
ITM;127;23.526;;11
