ADR;1028111;23/05/2024;002352
ITM;509;0.156;;11
ITM;128;0.22;;11
ITM;372;2;;11
ITM;371;3;;11
ITM;162;0.866;;11
ITM;623;0.288;;11
ITM;409;0.246;;11
ITM;135;0.318;;11
ITM;346;0.648;;11
ITM;505;0.24;;11
ITM;508;0.054;;11
ITM;505;0.07;;11
ITM;509;0.078;;11
ITM;506;0.284;;11
ITM;168;0.264;;11
ITM;162;0.15;;11
ITM;409;0.076;;11
ITM;609;0.994;;11
ITM;302;0.24;;11
ITM;346;0.274;;11
ITM;127;0.13;;11
ITM;373;1;;11
ITM;127;0.242;;11
ITM;329;0.162;;11
ITM;409;0.076;;11
ITM;148;0.234;;11
ITM;346;0.442;;11
ITM;307;0.416;;11
ITM;301;0.06;;11
