ADR;1029111;29/01/2024;000962
ITM;206;0.528;;11
ITM;610;0.152;;11
ITM;509;0.346;;11
ITM;505;0.288;;11
ITM;698;0.55;;11
ITM;135;0.818;;11
ITM;622;0.754;;11
ITM;622;0.754;;11
ITM;162;0.388;;11
ITM;346;1.418;;11
ITM;127;0.89;;11
ITM;509;0.212;;11
ITM;501;0.072;;11
ITM;162;0.212;;11
ITM;148;0.224;;11
ITM;502;0.434;;11
ITM;508;0.096;;11
ITM;160;0.128;;11
ITM;375;0.776;;11
ITM;652;3;;11
ITM;655;1;;11
ITM;698;0.558;;11
ITM;125;0.572;;11
ITM;206;0.654;;11
ITM;632;0.326;;11
ITM;346;1.338;;11
ITM;162;0.338;;11
