ADR;;08/01/2024;000499
ITM;346;0.8;;11
ITM;346;0.916;;11
ITM;135;0.852;;11
ITM;162;1.356;;11
ITM;160;0.306;;11
ITM;128;0.348;;11
ITM;127;1.306;;11
ITM;125;1.392;;11
ITM;346;0.812;;11
ITM;206;0.17;;11
ITM;502;0.47;;11
ITM;621;0.298;;11
ITM;168;0.336;;11
ITM;226;1.916;;11
ITM;162;0.564;;11
ITM;609;0.506;;11
ITM;506;0.414;;11
