ADR;1000001;26/02/2024;001338
ITM;307;307;;11
ITM;334;0.162;;11
ITM;402;0.112;;11
ITM;125;1.096;;11
ITM;129;0.544;;11
ITM;127;0.35;;11
ITM;148;0.286;;11
ITM;135;1.438;;11
ITM;301;0.116;;11
ITM;302;0.13;;11
ITM;311;0.092;;11
ITM;308;0.294;;11
ITM;310;0.122;;11
ITM;303;0.048;;11
ITM;307;0.114;;11
ITM;124;0.218;;11
ITM;129;0.7;;11
ITM;135;1.178;;11
ITM;509;0.114;;11
ITM;506;0.478;;11
ITM;505;0.122;;11
ITM;148;0.164;;11
ITM;149;0.482;;11
ITM;127;0.48;;11
ITM;371;2;;11
ITM;329;0.188;;11
ITM;451;0.078;;11
ITM;364;0.062;;11
ITM;305;0.094;;11
ITM;306;0.408;;11
ITM;162;0.726;;11
ITM;375;0.342;;11
