ADR;1029052;23/02/2024;001308
ITM;027;20;;11
ITM;135;1.056;;11
ITM;129;0.838;;11
ITM;127;2.13;;11
ITM;206;0.416;;11
ITM;109;0.86;;11
ITM;609;0.268;;11
ITM;503;0.452;;11
ITM;360;0.138;;11
ITM;409;0.8;;11
ITM;205;0.388;;11
ITM;601;0.668;;11
ITM;622;0.336;;11
ITM;623;0.89;;11
ITM;613;0.972;;11
ITM;263;0.99;;11
ITM;505;1.874;;11
ITM;329;0.722;;11
ITM;506;0.722;;11
ITM;168;1.164;;11
ITM;632;1.276;;11
ITM;214;1.148;;11
ITM;509;0.454;;11
ITM;310;0.108;;11
ITM;301;0.07;;11
ITM;402;0.084;;11
ITM;313;0.076;;11
