ADR;1028052;03/10/2024;003972
ITM;642;1;;11
ITM;127;0.26;;11
ITM;125;0.468;;11
ITM;162;0.244;;11
ITM;216;0.632;;11
ITM;135;0.568;;11
ITM;125;0.27;;11
ITM;135;0.562;;11
ITM;127;0.348;;11
ITM;127;0.72;;11
ITM;509;0.144;;11
ITM;506;0.152;;11
ITM;414;0.066;;11
ITM;334;0.194;;11
ITM;407;0.094;;11
ITM;700;0.152;;11
ITM;308;0.174;;11
ITM;302;0.08;;11
ITM;311;0.048;;11
ITM;360;0.106;;11
ITM;303;0.102;;11
ITM;402;0.346;;11
ITM;310;0.04;;11
ITM;306;0.352;;11
ITM;329;0.212;;11
ITM;375;0.794;;11
ITM;509;0.262;;11
ITM;475;1;;11
ITM;128;0.332;;11
ITM;129;0.492;;11
ITM;214;0.104;;11
ITM;214;0.104;;11
ITM;409;0.692;;11
ITM;162;0.598;;11
ITM;127;0.196;;11
ITM;168;0.488;;11
ITM;138;0.352;;11
