ADR;;04/01/2024;000462
ITM;129;0.846;;11
ITM;346;1.278;;11
ITM;127;0.636;;11
ITM;505;0.278;;11
ITM;502;0.642;;11
ITM;125;0.908;;11
ITM;148;0.33;;11
