ADR;1028112;18/10/2024;004146
ITM;927;11;;11
ITM;416;0.03;;11
ITM;505;0.054;;11
ITM;128;0.022;;11
ITM;451;0.078;;11
ITM;361;0.064;;11
ITM;322;0.128;;11
ITM;313;0.014;;11
ITM;303;0.048;;11
ITM;301;0.052;;11
ITM;310;0.124;;11
ITM;135;0.096;;11
ITM;162;0.214;;11
ITM;360;0.118;;11
ITM;306;0.86;;11
ITM;408;0.436;;11
ITM;308;0.246;;11
ITM;311;0.138;;11
ITM;302;1.038;;11
ITM;305;0.252;;11
ITM;407;0.456;;11
ITM;329;0.946;;11
ITM;700;0.312;;11
ITM;346;0.422;;11
ITM;334;0.904;;11
ITM;402;0.822;;11
ITM;409;1.202;;11
ITM;213;2;;11
ITM;372;1;;11
ITM;698;0.27;;11
ITM;160;0.82;;11
ITM;162;2.766;;11
ITM;506;0.548;;11
ITM;148;0.124;;11
ITM;129;0.124;;11
