ADR;1028052;06/04/2024;001819
ITM;335;0.155;;11
ITM;361;0.09;;11
ITM;402;0.055;;11
ITM;360;0.1;;11
ITM;360;0.075;;11
ITM;310;0.03;;11
ITM;308;0.055;;11
ITM;402;0.09;;11
ITM;305;0.045;;11
ITM;329;0.205;;11
ITM;306;0.355;;11
ITM;994;0.32;;11
ITM;993;0.165;;11
ITM;162;0.34;;11
ITM;202;1.26;;11
ITM;202;1.21;;11
ITM;202;0.92;;11
ITM;414;0.04;;11
ITM;505;0.105;;11
ITM;506;0.1;;11
ITM;127;0.185;;11
ITM;409;0.065;;11
ITM;506;0.125;;11
ITM;505;0.22;;11
ITM;624;0.31;;11
ITM;127;1.455;;11
ITM;129;0.685;;11
ITM;128;0.34;;11
ITM;125;0.21;;11
ITM;148;0.17;;11
