ADR;1000001;16/04/2024;001905
ITM;206;3.058;;11
ITM;207;1.63;;11
ITM;698;2.882;;11
ITM;502;8.42;;11
ITM;506;11.46;;11
ITM;202;4.308;;11
ITM;623;0.432;;11
ITM;601;2.934;;11
ITM;621;1.33;;11
ITM;313;0.078;;11
ITM;310;0.076;;11
ITM;310;0.076;;11
ITM;302;0.194;;11
ITM;308;0.092;;11
ITM;451;0.128;;11
ITM;501;0.064;;11
ITM;329;0.086;;11
ITM;138;0.236;;11
ITM;506;0.86;;11
ITM;509;0.326;;11
ITM;148;0.152;;11
ITM;125;0.324;;11
ITM;250;3.944;;11
ITM;214;1.158;;11
ITM;206;0.994;;11
ITM;135;0.822;;11
ITM;129;0.458;;11
