ADR;1000001;24/06/2024;002688
ITM;420;1.954;;11
ITM;623;0.968;;11
ITM;613;0.61;;11
ITM;310;0.098;;11
ITM;305;0.12;;11
ITM;402;0.172;;11
ITM;329;0.194;;11
ITM;360;0.09;;11
ITM;700;0.084;;11
ITM;311;0.13;;11
ITM;129;1.038;;11
ITM;148;0.208;;11
ITM;623;5.006;;11
ITM;613;6.505;;11
ITM;160;0.74;;11
ITM;624;3.354;;11
ITM;414;1.084;;11
ITM;505;0.094;;11
ITM;509;0.162;;11
ITM;307;0.098;;11
ITM;306;0.212;;11
ITM;375;0.834;;11
ITM;408;0.062;;11
ITM;407;0.074;;11
ITM;506;0.384;;11
ITM;286;1;;11
ITM;308;0.244;;11
ITM;135;0.774;;11
ITM;149;0.566;;11
ITM;125;0.544;;11
