ADR;;06/01/2024;000487
ITM;028;1;;11
ITM;125;0.17;;11
ITM;504;0.108;;11
ITM;508;0.096;;11
ITM;162;1.164;;11
ITM;346;0.61;;11
ITM;506;0.548;;11
ITM;505;0.136;;11
ITM;127;0.224;;11
ITM;138;0.162;;11
ITM;148;0.144;;11
