ADR;1029052;22/03/2024;001654
ITM;306;0.28;;11
ITM;302;0.228;;11
ITM;609;1.07;;11
ITM;335;0.212;;11
ITM;334;0.316;;11
ITM;601;0.722;;11
ITM;135;2.218;;11
ITM;129;1.09;;11
ITM;205;1.718;;11
ITM;621;0.294;;11
ITM;508;0.424;;11
ITM;209;8;;11
ITM;623;0.296;;11
ITM;214;1.01;;11
ITM;501;1.25;;11
ITM;698;0.658;;11
ITM;506;0.862;;11
ITM;250;0.456;;11
ITM;263;0.444;;11
ITM;216;0.434;;11
ITM;346;1.69;;11
ITM;509;1.2;;11
ITM;148;0.328;;11
ITM;162;2.238;;11
ITM;213;2;;11
ITM;204;2.756;;11
ITM;166;0.29;;11
ITM;653;12;;11
ITM;131;2.432;;11
