ADR;1028052;14/10/2024;004100
ITM;148;0.202;;11
ITM;162;0.094;;11
ITM;127;0.57;;11
ITM;148;0.21;;11
ITM;125;0.248;;11
ITM;129;0.456;;11
ITM;127;0.744;;11
ITM;135;0.34;;11
ITM;509;0.214;;11
ITM;506;0.306;;11
ITM;509;0.116;;11
ITM;162;0.482;;11
ITM;613;0.096;;11
ITM;162;1.158;;11
ITM;148;0.172;;11
ITM;409;0.052;;11
ITM;127;0.204;;11
ITM;506;0.28;;11
ITM;306;0.376;;11
ITM;375;0.62;;11
ITM;310;0.118;;11
ITM;329;0.102;;11
ITM;700;0.134;;11
ITM;360;0.13;;11
ITM;373;1;;11
ITM;402;0.17;;11
ITM;655;1;;11
