ADR;;09/01/2024;000507
ITM;129;1.01;;11
ITM;505;0.102;;11
ITM;509;0.206;;11
ITM;506;1.17;;11
ITM;346;2.15;;11
ITM;162;1.306;;11
ITM;148;0.342;;11
ITM;504;0.402;;11
ITM;125;0.19;;11
ITM;138;0.21;;11
ITM;148;0.342;;11
ITM;128;0.352;;11
ITM;028;1;;11
