ADR;1029052;02/04/2024;001777
ITM;027;20;;11
ITM;162;0.456;;11
ITM;202;3.152;;11
ITM;698;1.172;;11
ITM;216;0.986;;11
ITM;205;0.51;;11
ITM;616;0.686;;11
ITM;250;1.374;;11
ITM;206;1.802;;11
ITM;346;2.42;;11
ITM;109;1.21;;11
ITM;131;2.684;;11
ITM;609;2.198;;11
ITM;402;0.872;;11
ITM;148;1.088;;11
ITM;346;1.296;;11
ITM;128;0.708;;11
ITM;623;0.584;;11
ITM;622;1.028;;11
ITM;162;1.258;;11
ITM;263;0.808;;11
ITM;506;1.668;;11
ITM;409;0.274;;11
ITM;209;8;;11
ITM;502;0.888;;11
ITM;301;0.322;;11
ITM;610;2.226;;11
ITM;506;1.026;;11
ITM;503;0.35;;11
ITM;166;1.048;;11
ITM;213;8;;11
