ADR;1028112;26/07/2024;003166
ITM;506;0.16;;11
ITM;334;0.022;;11
ITM;311;0.034;;11
ITM;214;0.764;;11
ITM;148;0.234;;11
ITM;128;0.194;;11
ITM;698;0.14;;11
ITM;505;0.166;;11
ITM;508;0.04;;11
ITM;509;0.024;;11
ITM;129;0.058;;11
ITM;162;1.46;;11
ITM;402;0.028;;11
ITM;346;0.046;;11
ITM;310;0.018;;11
ITM;408;0.086;;11
ITM;322;0.046;;11
ITM;301;0.054;;11
ITM;306;0.17;;11
ITM;302;0.216;;11
ITM;407;0.256;;11
ITM;305;0.12;;11
ITM;308;0.104;;11
ITM;329;0.424;;11
ITM;361;0.076;;11
ITM;313;0.028;;11
ITM;364;0.024;;11
ITM;700;0.048;;11
